Frame: 18,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.92
Frame: 18,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.88
Frame: 18,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.87
Frame: 18,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.74
Frame: 18,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.29
Frame: 19,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.92
Frame: 19,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.90
Frame: 19,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.87
Frame: 19,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.83
Frame: 19,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.28
Frame: 20,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.92
Frame: 20,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.88
Frame: 20,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 20,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.85
Frame: 20,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.60
Frame: 21,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.92
Frame: 21,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.88
Frame: 21,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.85
Frame: 21,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.84
Frame: 21,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.64
Frame: 22,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 22,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
Frame: 22,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.85
Frame: 22,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.85
Frame: 22,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.63
Frame: 23,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 23,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
Frame: 23,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 23,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.85
Frame: 23,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.62
Frame: 24,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 24,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
Frame: 24,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.86
Frame: 24,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.86
Frame: 24,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.61
Frame: 24,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.41
Frame: 25,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 25,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
Frame: 25,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 25,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.77
Frame: 25,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.65
Frame: 26,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.93
Frame: 26,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.88
Frame: 26,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.86
Frame: 26,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.74
Frame: 26,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.66
Frame: 26,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.26
Frame: 27,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.93
Frame: 27,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
Frame: 27,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 27,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.87
Frame: 27,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.60
Frame: 28,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.92
Frame: 28,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.88
Frame: 28,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 28,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.87
Frame: 28,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.58
Frame: 29,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.93
Frame: 29,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.90
Frame: 29,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 29,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.85
Frame: 29,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.65
Frame: 30,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.93
Frame: 30,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
Frame: 30,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 30,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.86
Frame: 30,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.53
Frame: 30,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.29
Frame: 31,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.93
Frame: 31,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.88
Frame: 31,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.88
Frame: 31,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.84
Frame: 31,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.52
Frame: 31,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.33
Frame: 32,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.93
Frame: 32,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
Frame: 32,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 32,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.86
Frame: 32,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.62
Frame: 32,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.31
Frame: 33,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.93
Frame: 33,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.87
Frame: 33,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 33,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.87
Frame: 33,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.59
Frame: 33,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.31
Frame: 34,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 34,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
Frame: 34,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.85
Frame: 34,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.85
Frame: 34,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.60
Frame: 35,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.93
Frame: 35,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
Frame: 35,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 35,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.85
Frame: 35,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.83
Frame: 35,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.58
Frame: 35,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.29
Frame: 36,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 36,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.88
Frame: 36,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.88
Frame: 36,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.87
Frame: 36,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.87
Frame: 36,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.65
Frame: 36,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.32
Frame: 37,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 37,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.88
Frame: 37,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.88
Frame: 37,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 37,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.86
Frame: 37,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.66
Frame: 37,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.35
Frame: 38,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 38,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.89
Frame: 38,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.88
Frame: 38,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.88
Frame: 38,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.86
Frame: 38,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.62
Frame: 38,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.26
Frame: 39,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 39,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.91
Frame: 39,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.89
Frame: 39,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.88
Frame: 39,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 39,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.65
Frame: 39,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.26
Frame: 40,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 40,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.91
Frame: 40,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.89
Frame: 40,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.88
Frame: 40,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.86
Frame: 40,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.71
Frame: 40,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.35
Frame: 41,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.95
Frame: 41,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.92
Frame: 41,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.90
Frame: 41,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
Frame: 41,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.86
Frame: 41,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.63
Frame: 41,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.41
Frame: 42,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.95
Frame: 42,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.92
Frame: 42,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
